,,,,,,,,,,,,
Type,Aircraft,Aircraft ID,Nation,Commander,Take off Base ,Target ,Date of Mission,Take off Time,Reason for Crash ,Latitude,Longitude ,Location
Crash,B-25 Mitchell,"B-25C-1 ""Snafu (II) / Stubborn Hellion"" 
Serial Number 42-32314",USA,Captain Michael F. Hochella, Dobobura Airfield, Kavieng,15-02-1944,NA,Anti Aircraft Fire,-2.692493,150.554511,"Into the sea roughly 75 yards off Selapiu Island near 
New Hanover at roughly Lat 2.21° Long 150.37°"
Crash,Douglas A-20 Havoc,A-20G-20-DO Havoc 42-86616  ,USA,1st Lt. William T. Pearson, Nadzab Airfield ,Kavieng Harbor,15-02-1944,NA,Collateral Damage,-2.798483,150.664425,35 miles south-southwest of Kavieng
Crash,PV-1 Ventura ,NZ4613 Tail 13,New Zealand, F/O Norman H. Benton,Emirau Airfield, New Ireland,09-06-1945,NA,NIL,-3.36602,152.023998,"Crashed near Kimidan (Kimadan), inland from Lamerika on the north coast of New Ireland"
Crash,  FG-1A Corsair ,13212,USA,"1st Lt. Jesse M. Leach, Jr"," Torokina Airfield , Bougainville",Rabaul,24-02-1944,NA,NIL,-4.2047,152.504208, Duke of York Islands
Crash,F4U-1D Corsair ,NZ5402 Code 02,New Zealand,F/Sgt Ronald C. Warren,Jacquinot Bay Airfield,Rabaul,21-06-1945,7:45 AM,Crashed into tree,-4.21245,152.413217,Crashed into the jungle roughly 150' to 200' from the shore of Ulu Island
Crash,JM-1 Marauder,66617,USA, Lt(jg) Robert Lee Auer,Pityilu Airfield,NA,29-12-1944,NA,Engine Failure,-1.864116,147.229817, Seven miles off Pityilu Airfield on Pityilu Island.
Crash,Consolidated B-24 Liberator," B-24D-150-CO ""Droopsnoot"" 42-41246  ",USA,"2nd Lt. Will S. Finks, Jr",Momote Airfield on Los Negros," Eten Island (Target D-11) in 
Truk Lagoon",17-06-1944,NA,Low Fuel,-1.528148,145.031487,Crashed into a hillside in New Guinea to the south of Wewak 
Crash,P-38J-15-LO Lightning , 42-103987  ,USA,Lt. Col. Thomas J. Lynch,Nadzab Airfield ,Tadji Airfield,08-03-1944,NA,Anti Aircraft Fire,-3.158924,142.346219,One mile south-southwest of Aitape
Crash,P-40N-5-CU Warhawk,42-105738,USA,Captain Russell C. Cash,Gusap Airfield, Tadji Airfield,22-03-1944,NA,Anti Aircraft Fire,-3.164402,142.362733,Crashed inland from Aitape
Crash,Curtiss P-40  Kittyhawk,P-40N-5-CU Kittyhawk A29-527  ,USA,F/O Desmond Haight Harrison, Tadji Airfield, Tadji Airfield,15-11-1945,NA,"Collision with friendly
aircraft",-3.191712,142.447944, Two miles northeast of Tadji Airfield
Crash,Douglas A-20 Havoc,A-20G-15-DO Havoc 42-54157  ,USA,2nd Lt. Raymond H. Brock,Gusap Airfield , Dobodura,20-03-1944,NA,Lost Control,-8.46,148.22,"Into a sago swamp roughly two miles inland from Cape Ward Hunt
 between the Mambare River and Gira River at approximately Lat 8.46 Long 148.22."
Crash,DAP Beaufort,DAP Beaufort Mark VIII A9-627 Code QH-H,Australia,FLTLT Edward Manton Christensen,Tadji Airfield,"Amuli Nanu East 
(Amuli village)",23-01-1945,9:34 AM,"Collision with friendly
aircraft",-3.55,142.7167,Crashed near Yaurang 
